0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1
0, 0, 1, 1, 1, 1, T, 3, T, 1, 1, 1, 2, T, 1
1, 1, 1, T, 1, 1, 1, 2, 1, 1, 1, T, 2, 1, 1
T, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 2, 1, 0
1, 1, 0, 1, 1, 2, T, 1, 0, 0, 0, 1, T, 1, 0
1, 1, 0, 1, T, 3, 2, 2, 0, 1, 1, 2, G, 1, 0
T, 1, 0, 1, 1, G, T, 1, 0, 1, T, 1, 1, 1, 1
1, 2, 1, G, 1, 2, 2, 1, 0, 1, 1, 1, 1, T, 1
0, 1, T, 1, 1, T, 1, 0, 1, G, 1, 0, 1, 1, 1
1, 2, 2, 1, 1, 1, 1, 0, 1, T, 1, 0, 0, G, 1
1, T, 1, 0, 0, G, 1, 1, 1, 1, 2, G, 1, 1, T
1, 1, 1, 0, 0, 1, T, 1, 0, 0, 1, T, 1, 1, 1
0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1
0, 0, 0, 1, 1, 1, G, 1, T, 1, 1, 1, 2, T, 1
0, 0, 0, 1, T, 1, 0, 1, 1, 1, 1, T, 2, 1, 1
