0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1
0, 0, 1, 1, 1, 1, _, 3, _, 1, 1, 1, 2, _, 1
1, 1, 1, _, 1, 1, 1, 2, 1, 1, 1, _, 2, 1, 1
_, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 2, 1, 0
1, 1, 0, 1, 1, 2, _, 1, 0, 0, 0, 1, _, 1, 0
1, 1, 0, 1, _, 3, 2, 2, 0, 1, 1, 2, _, 1, 0
_, 1, 0, 1, 1, _, _, 1, 0, 1, _, 1, 1, 1, 1
1, 2, 1, _, 1, 2, 2, 1, 0, 1, 1, 1, 1, _, 1
0, 1, _, 1, 1, _, 1, 0, 1, _, 1, 0, 1, 1, 1
1, 2, 2, 1, 1, 1, 1, 0, 1, _, 1, 0, 0, _, 1
1, _, 1, 0, 0, _, 1, 1, 1, 1, 2, _, 1, 1, _
1, 1, 1, 0, 0, 1, _, 1, 0, 0, 1, _, 1, 1, 1
0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1
0, 0, 0, 1, 1, 1, _, 1, _, 1, 1, 1, 2, _, 1
0, 0, 0, 1, _, 1, 0, 1, 1, 1, 1, _, 2, 1, 1
